trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
21743166,2019-01-01 12:53:30,2019-01-01 12:59:36,3969,366,344,Ravenswood Ave & Lawrence Ave,234,Clark St & Montrose Ave,Subscriber,Male,1987
21743167,2019-01-01 12:54:16,2019-01-01 13:02:51,5375,515,313,Lakeview Ave & Fullerton Pkwy,300,Broadway & Barry Ave,Subscriber,Female,1971
21743169,2019-01-01 12:54:30,2019-01-01 13:02:12,2205,462,414,Canal St & Taylor St,18,Wacker Dr & Washington St,Subscriber,Male,1983
21743171,2019-01-01 12:54:50,2019-01-01 13:10:49,5752,959,220,Clark St & Drummond Pl,172,Rush St & Cedar St,Subscriber,Male,1983
21743173,2019-01-01 12:55:17,2019-01-01 13:02:25,253,428,141,Clark St & Lincoln Ave,138,Clybourn Ave & Division St,Subscriber,Male,1988
21743174,2019-01-01 12:56:47,2019-01-01 13:19:45,5973,"1,378.00",192,Canal St & Adams St,128,Damen Ave & Chicago Ave,Subscriber,Female,1991
21743176,2019-01-01 12:57:42,2019-01-01 13:01:03,4041,201,49,Dearborn St & Monroe St,50,Clark St & Ida B Wells Dr,Subscriber,Male,1952
21743179,2019-01-01 12:58:58,2019-01-01 13:04:05,4320,307,145,Mies van der Rohe Way & Chestnut St,176,Clark St & Elm St,Subscriber,Male,1996
21743180,2019-01-01 12:59:10,2019-01-01 13:02:15,4521,185,191,Canal St & Monroe St (*),49,Dearborn St & Monroe St,Subscriber,Male,1993
21743181,2019-01-01 12:59:26,2019-01-01 13:12:53,641,807,126,Clark St & North Ave,327,Sheffield Ave & Webster Ave,Subscriber,Female,1967
21743182,2019-01-01 12:59:42,2019-01-01 13:25:21,2640,"1,539.00",29,Noble St & Milwaukee Ave,41,Federal St & Polk St,Subscriber,Male,1979
21743183,2019-01-01 12:59:54,2019-01-01 13:10:45,6331,651,224,Halsted St & Willow St,268,Lake Shore Dr & North Blvd,Subscriber,Female,1989
21743184,2019-01-01 12:59:55,2019-01-01 13:08:55,910,540,96,Desplaines St & Randolph St,96,Desplaines St & Randolph St,Subscriber,Female,1991
21743185,2019-01-01 13:00:26,2019-01-01 13:10:54,5585,628,283,LaSalle St & Jackson Blvd,31,Franklin St & Chicago Ave,Subscriber,Male,1974
21743186,2019-01-01 13:00:46,2019-01-01 13:10:45,111,599,224,Halsted St & Willow St,268,Lake Shore Dr & North Blvd,Subscriber,Male,1988
21743187,2019-01-01 13:01:19,2019-01-01 13:07:23,290,364,146,Loomis St & Jackson Blvd,621,Aberdeen St & Randolph St,Subscriber,Male,1990
21743188,2019-01-01 13:01:53,2019-01-01 13:08:04,1616,371,324,Stockton Dr & Wrightwood Ave,300,Broadway & Barry Ave,Subscriber,Male,1966
21743190,2019-01-01 13:02:48,2019-01-01 13:09:35,408,407,224,Halsted St & Willow St,289,Wells St & Concord Ln,Subscriber,Female,1970
21743191,2019-01-01 13:02:51,2019-01-01 13:15:14,3226,743,210,Ashland Ave & Division St,350,Ashland Ave & Chicago Ave,Subscriber,Male,1989
21743192,2019-01-01 13:03:39,2019-01-01 13:20:06,6122,987,255,Indiana Ave & Roosevelt Rd,47,State St & Kinzie St,Subscriber,Male,1983
21743193,2019-01-01 13:03:49,2019-01-01 13:22:18,2816,"1,109.00",19,Loomis St & Taylor St (*),381,Western Ave & Monroe St,Subscriber,Female,1987
21743194,2019-01-01 13:04:24,2019-01-01 13:17:04,5852,760,494,Kedzie Ave & Bryn Mawr Ave,472,Lincoln Ave & Winona St,Subscriber,Male,1984
21743201,2019-01-01 13:06:36,2019-01-01 13:10:02,3811,206,141,Clark St & Lincoln Ave,118,Sedgwick St & North Ave,Subscriber,Male,1999
21743203,2019-01-01 13:07:27,2019-01-01 13:27:50,5635,"1,223.00",268,Lake Shore Dr & North Blvd,157,Lake Shore Dr & Wellington Ave,Subscriber,Female,1963
21743204,2019-01-01 13:07:41,2019-01-01 13:16:23,508,522,44,State St & Randolph St,44,State St & Randolph St,Subscriber,,
21743205,2019-01-01 13:08:54,2019-01-01 13:13:25,6201,271,638,Clinton St & Jackson Blvd (*),103,Clinton St & Polk St (*),Subscriber,Male,1975
21743207,2019-01-01 13:09:40,2019-01-01 13:16:39,2796,419,142,McClurg Ct & Erie St,199,Wabash Ave & Grand Ave,Subscriber,Male,1990
21743208,2019-01-01 13:10:02,2019-01-01 13:20:49,3628,647,639,Lakefront Trail & Wilson Ave,459,Lakefront Trail & Bryn Mawr Ave,Subscriber,Male,1987
21743209,2019-01-01 13:11:14,2019-01-01 13:17:27,2202,373,359,Larrabee St & Division St,133,Kingsbury St & Kinzie St,Subscriber,Male,1986
21743210,2019-01-01 13:11:18,2019-01-01 13:19:37,3604,499,48,Larrabee St & Kingsbury St,96,Desplaines St & Randolph St,Subscriber,Male,1991
21743211,2019-01-01 13:11:52,2019-01-01 13:19:13,5846,441,257,Lincoln Ave & Waveland Ave,228,Damen Ave & Melrose Ave,Subscriber,Female,1984
21743212,2019-01-01 13:12:00,2019-01-01 13:25:02,3639,782,212,Wells St & Hubbard St,321,Wabash Ave & 9th St,Subscriber,Female,1992
21743215,2019-01-01 13:14:16,2019-01-01 13:20:54,568,398,173,Mies van der Rohe Way & Chicago Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,,
21743217,2019-01-01 13:14:53,2019-01-01 14:11:33,5717,"3,400.00",213,Leavitt St & North Ave,339,Emerald Ave & 31st St,Customer,,
21743218,2019-01-01 13:15:12,2019-01-01 13:21:02,6262,350,442,California Ave & 23rd Pl,203,Western Ave & 21st St,Subscriber,Male,1989
21743219,2019-01-01 13:15:36,2019-01-01 13:19:11,5099,215,302,Sheffield Ave & Wrightwood Ave,327,Sheffield Ave & Webster Ave,Subscriber,Male,1992
21743220,2019-01-01 13:15:48,2019-01-01 13:22:49,3728,421,133,Kingsbury St & Kinzie St,47,State St & Kinzie St,Subscriber,Male,1966
21743223,2019-01-01 13:16:45,2019-01-01 13:23:25,5997,400,93,Sheffield Ave & Willow St,289,Wells St & Concord Ln,Subscriber,Male,1991
21743224,2019-01-01 13:16:56,2019-01-01 13:20:34,3226,218,350,Ashland Ave & Chicago Ave,86,Eckhart Park,Subscriber,Male,1989
21743229,2019-01-01 13:18:01,2019-01-01 13:32:32,426,871,73,Jefferson St & Monroe St,261,Hermitage Ave & Polk St,Subscriber,Male,1970
21743232,2019-01-01 13:18:47,2019-01-01 13:27:18,5752,511,172,Rush St & Cedar St,141,Clark St & Lincoln Ave,Subscriber,Male,1989
21743235,2019-01-01 13:19:00,2019-01-01 13:31:06,295,726,33,State St & Van Buren St,26,McClurg Ct & Illinois St,Subscriber,Male,1993
21743238,2019-01-01 13:20:24,2019-01-01 13:28:14,5973,470,128,Damen Ave & Chicago Ave,186,Ogden Ave & Race Ave,Subscriber,Male,1990
21743239,2019-01-01 13:20:38,2019-01-01 13:37:00,4732,982,23,Orleans St & Elm St (*),144,Larrabee St & Webster Ave,Subscriber,Female,1986
21743240,2019-01-01 13:21:33,2019-01-01 13:43:01,4556,"1,288.00",99,Lake Shore Dr & Ohio St,225,Halsted St & Dickens Ave,Subscriber,Male,1989
21743241,2019-01-01 13:22:00,2019-01-01 13:43:36,6441,"1,296.00",4,Burnham Harbor,198,Green St & Madison St,Subscriber,Male,1984
21743242,2019-01-01 13:22:15,2019-01-01 13:30:26,469,491,26,McClurg Ct & Illinois St,7,Field Blvd & South Water St,Subscriber,Male,1964
21743243,2019-01-01 13:22:16,2019-01-01 13:38:41,3813,985,313,Lakeview Ave & Fullerton Pkwy,85,Michigan Ave & Oak St,Subscriber,Male,1954
21743244,2019-01-01 13:23:29,2019-01-01 13:29:22,6311,353,20,Sheffield Ave & Kingsbury St,289,Wells St & Concord Ln,Subscriber,Male,1988
21743245,2019-01-01 13:23:43,2019-01-01 13:53:59,5356,"1,816.00",133,Kingsbury St & Kinzie St,72,Wabash Ave & 16th St,Subscriber,Male,1946
21743246,2019-01-01 13:24:04,2019-01-01 13:33:43,2787,579,283,LaSalle St & Jackson Blvd,23,Orleans St & Elm St (*),Subscriber,Male,1988
21743247,2019-01-01 13:24:04,2019-01-01 13:33:54,3090,590,313,Lakeview Ave & Fullerton Pkwy,176,Clark St & Elm St,Subscriber,Male,1967
21743248,2019-01-01 13:24:19,2019-01-01 13:30:20,3142,361,20,Sheffield Ave & Kingsbury St,225,Halsted St & Dickens Ave,Subscriber,Male,1979
21743249,2019-01-01 13:24:42,2019-01-01 13:32:10,344,448,141,Clark St & Lincoln Ave,268,Lake Shore Dr & North Blvd,Customer,,
21743250,2019-01-01 13:25:12,2019-01-01 13:32:10,3164,418,141,Clark St & Lincoln Ave,268,Lake Shore Dr & North Blvd,Customer,,
21743252,2019-01-01 13:26:52,2019-01-01 13:33:28,495,396,199,Wabash Ave & Grand Ave,53,Wells St & Huron St,Subscriber,Male,1990
21743255,2019-01-01 13:29:14,2019-01-01 13:40:01,2585,647,185,Stave St & Armitage Ave,162,Damen Ave & Wellington Ave,Subscriber,Male,1989
21743256,2019-01-01 13:29:19,2019-01-01 13:49:50,4879,"1,231.00",320,Loomis St & Lexington St,54,Ogden Ave & Chicago Ave,Subscriber,Female,1973
21743258,2019-01-01 13:30:14,2019-01-01 13:34:32,6218,258,331,Halsted St & Clybourn Ave (*),138,Clybourn Ave & Division St,Subscriber,Male,1992
21743259,2019-01-01 13:31:54,2019-01-01 13:55:37,2877,"1,423.00",144,Larrabee St & Webster Ave,313,Lakeview Ave & Fullerton Pkwy,Subscriber,Male,1995
21743260,2019-01-01 13:33:15,2019-01-01 13:36:58,3633,223,299,Halsted St & Roscoe St,156,Clark St & Wellington Ave,Subscriber,Male,1987
21743261,2019-01-01 13:34:40,2019-01-01 13:38:23,2933,223,133,Kingsbury St & Kinzie St,84,Milwaukee Ave & Grand Ave,Subscriber,Male,1984
21743262,2019-01-01 13:34:54,2019-01-01 13:50:38,3551,944,239,Western Ave & Leland Ave,242,Damen Ave & Leland Ave,Subscriber,Male,1984
21743263,2019-01-01 13:36:09,2019-01-01 13:51:30,4418,921,50,Clark St & Ida B Wells Dr,53,Wells St & Huron St,Customer,Male,1988
21743264,2019-01-01 13:36:11,2019-01-01 13:47:55,5587,704,493,Western Ave & Roscoe St,299,Halsted St & Roscoe St,Subscriber,Male,1994
21743265,2019-01-01 13:36:27,2019-01-01 13:41:36,2549,309,313,Lakeview Ave & Fullerton Pkwy,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1987
21743266,2019-01-01 13:36:46,2019-01-01 14:05:05,3979,"1,699.00",172,Rush St & Cedar St,106,State St & Pearson St,Customer,,
21743267,2019-01-01 13:38:35,2019-01-01 14:04:47,5892,"1,572.00",520,Greenview Ave & Jarvis Ave,523,Eastlake Ter & Rogers Ave,Subscriber,Female,1955
21743268,2019-01-01 13:38:54,2019-01-01 13:47:26,2352,512,74,Kingsbury St & Erie St,176,Clark St & Elm St,Subscriber,Male,1986
21743269,2019-01-01 13:39:10,2019-01-01 15:51:47,6339,"7,957.00",283,LaSalle St & Jackson Blvd,337,Clark St & Chicago Ave,Subscriber,Male,1992
21743270,2019-01-01 13:39:14,2019-01-01 14:06:43,24,"1,649.00",289,Wells St & Concord Ln,303,Broadway & Cornelia Ave,Subscriber,Male,1988
21743272,2019-01-01 13:39:52,2019-01-01 13:45:06,5456,314,344,Ravenswood Ave & Lawrence Ave,326,Clark St & Leland Ave,Subscriber,Male,1993
21743273,2019-01-01 13:40:29,2019-01-01 13:50:07,2006,578,166,Ashland Ave & Wrightwood Ave,93,Sheffield Ave & Willow St,Subscriber,Female,1989
21743274,2019-01-01 13:40:29,2019-01-01 13:50:07,2561,578,166,Ashland Ave & Wrightwood Ave,93,Sheffield Ave & Willow St,Subscriber,Male,1990
21743279,2019-01-01 13:41:41,2019-01-01 14:06:43,6311,"1,502.00",289,Wells St & Concord Ln,303,Broadway & Cornelia Ave,Subscriber,Female,1988
21743283,2019-01-01 13:42:06,2019-01-01 13:46:30,508,264,44,State St & Randolph St,110,Dearborn St & Erie St,Subscriber,Male,1989
