ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
FAA3404720A0B4DC,docked_bike,2020-01-17 7:33:35,2020-01-17 7:46:16,Michigan Ave & 18th St,273,Canal St & Harrison St,169,41.8578,-87.6246,41.8743,-87.6396,member
4083BAE911079280,docked_bike,2020-01-04 9:25:02,2020-01-04 9:35:21,Fairbanks Ct & Grand Ave,24,Desplaines St & Kinzie St,56,41.8918,-87.6206,41.8887,-87.6444,member
2B88E103360E5C5E,docked_bike,2020-01-04 7:46:52,2020-01-04 7:56:50,Desplaines St & Kinzie St,56,Fairbanks Ct & Grand Ave,24,41.8887,-87.6444,41.8918,-87.6206,member
3F2699AEFF36326B,docked_bike,2020-01-04 12:53:38,2020-01-04 13:01:12,Ashland Ave & Division St,210,Milwaukee Ave & Grand Ave,84,41.9035,-87.6677,41.8916,-87.6484,member
B71C2753E049D3A3,docked_bike,2020-01-15 20:22:02,2020-01-15 20:56:17,McCormick Place,62,Mies van der Rohe Way & Chestnut St,145,41.8514,-87.6188,41.8986,-87.6219,casual
7ADB78B611B49890,docked_bike,2020-01-22 18:45:38,2020-01-22 18:57:31,Dearborn St & Monroe St,49,Clark St & Schiller St,301,41.8813,-87.6295,41.908,-87.6315,member
849717CE02B7E514,docked_bike,2020-01-03 6:36:22,2020-01-03 6:39:47,Desplaines St & Kinzie St,56,Kingsbury St & Kinzie St,133,41.8887,-87.6444,41.8892,-87.6385,member
E44DA91913CEF7CD,docked_bike,2020-01-03 7:37:12,2020-01-03 7:39:54,Kingsbury St & Kinzie St,133,Desplaines St & Kinzie St,56,41.8892,-87.6385,41.8887,-87.6444,member
F4061D2FCDD40B86,docked_bike,2020-01-03 8:42:34,2020-01-03 8:46:31,Daley Center Plaza,81,Wabash Ave & Adams St,39,41.8842,-87.6296,41.8795,-87.6257,member
5BDB5FCB4BD6561C,docked_bike,2020-01-03 8:10:59,2020-01-03 8:20:19,Morgan St & Lake St,71,Daley Center Plaza,81,41.8855,-87.6523,41.8842,-87.6296,member
19E9C69AB7CC834A,docked_bike,2020-01-16 9:10:15,2020-01-16 9:19:57,Clinton St & Washington Blvd,91,Dearborn Pkwy & Delaware Pl,140,41.8834,-87.6412,41.899,-87.6299,member
98D13933A1FAD4DA,docked_bike,2020-01-03 17:26:31,2020-01-03 17:34:48,Dearborn Pkwy & Delaware Pl,140,Clinton St & Washington Blvd,91,41.899,-87.6299,41.8834,-87.6412,member
F7E7440EE20B22CC,docked_bike,2020-01-03 8:35:42,2020-01-03 8:46:32,Clinton St & Washington Blvd,91,Dearborn Pkwy & Delaware Pl,140,41.8834,-87.6412,41.899,-87.6299,member
BD353AEA592F2755,docked_bike,2020-01-22 11:54:57,2020-01-22 12:09:02,Morgan St & Lake St,71,St. Clair St & Erie St,211,41.8855,-87.6523,41.8944,-87.6227,member
0A56544A9033F5E8,docked_bike,2020-01-03 8:07:01,2020-01-03 8:18:41,Desplaines St & Randolph St,96,St. Clair St & Erie St,211,41.8846,-87.6446,41.8944,-87.6227,member
9FAC280A77B6FEB8,docked_bike,2020-01-03 17:23:11,2020-01-03 17:37:01,St. Clair St & Erie St,211,Desplaines St & Randolph St,96,41.8944,-87.6227,41.8846,-87.6446,member
19FE8D93586FBA3C,docked_bike,2020-01-03 14:06:14,2020-01-03 14:28:21,Western Ave & Division St,305,Paulina St & Flournoy St,383,41.9029,-87.6873,41.873,-87.6691,member
042ED95A6A5316A8,docked_bike,2020-01-21 17:03:20,2020-01-21 17:13:33,Western Ave & Winnebago Ave,116,Spaulding Ave & Armitage Ave,506,41.9155,-87.687,41.9171,-87.7102,member
7C9DBF131E73E260,docked_bike,2020-01-21 8:09:49,2020-01-21 8:19:35,Spaulding Ave & Armitage Ave,506,Western Ave & Winnebago Ave,116,41.9171,-87.7102,41.9155,-87.687,member
8BF77FC73B17F5BF,docked_bike,2020-01-10 13:12:53,2020-01-10 13:21:59,Western Ave & Winnebago Ave,116,Spaulding Ave & Armitage Ave,506,41.9155,-87.687,41.9171,-87.7102,member
